id,step_name,endpoint,endpoint_schema,task_type,db_schema,db_table,priority,is_active,pre_sql_exec,pre_sql,select_sql,from_sql,where_sql,post_sql,columns_to_merge
1,"StockItem","StockItem",,0,"cus","StockItem",1,True,,,,,,,
2,"CRM_Customer","CRM_Customer",,0,"cus","CRM_Customer",2,True,,,,,,,
3,"ItemLocation","ItemLocation",,0,"cus","ItemLocation",3,True,,,,,,,
4,"ItemSupplier","ItemSupplier",,0,"cus","ItemSupplier",4,True,,,,,,,
5,"Open_Order","Open_Order",,0,"cus","Open_Order",5,True,,,,,,,
6,"Open_OrderItem","Open_OrderItem",,0,"cus","Open_OrderItem",6,True,,,,,,,
7,"Purchase","Purchase",,0,"cus","Purchase",7,True,,,,,,,
8,"PurchaseItem","PurchaseItem",,0,"cus","PurchaseItem",8,True,,,,,,,
9,"Order","Order",,0,"cus","Order",9,True,,,,,,,
10,"OrderItem","OrderItem",,0,"cus","OrderItem",10,True,,,,,,,
11,"Stock_ItemComposition","Stock_ItemComposition",,0,"cus","Stock_ItemComposition",11,True,,,,,,,
12,"StockLevel","StockLevel",,0,"cus","StockLevel",12,True,,,,,,,
13,"StockLocation","StockLocation",,0,"cus","StockLocation",13,True,,,,,,,
14,"Supplier","Supplier",,0,"cus","Supplier",14,True,,,,,,,
15,"Warehouse_Transfer","Warehouse_Transfer",,0,"cus","Warehouse_Transfer",15,True,,,,,,,
16,"Warehouse_TransferItem","Warehouse_TransferItem",,0,"cus","Warehouse_TransferItem",16,True,,,,,,,
17,"ProductCategories","ProductCategories",,0,"cus","ProductCategories",17,True,,,,,,,
18,"StockChange","StockChange",,0,"cus","StockChange",18,True,,,,,,,
19,"StockItem_ExtendedProperties","StockItem_ExtendedProperties",,0,"cus","StockItem_ExtendedProperties",19,True,,,,,,,
