id,step_name,endpoint,endpoint_schema,task_type,db_schema,db_table,priority,is_active,pre_sql_exec,pre_sql,select_sql,from_sql,where_sql,post_sql,columns_to_merge
1,"variant_detail","variant_detail","dbo",0,"cus","variant_detail",1,True,,,,,,,
2,"variant_stock_location","variant_stock_location","dbo",0,"cus","variant_stock_location",2,True,,,,,,,
3,"variant_stock_quantity","variant_stock_quantity","dbo",0,"cus","variant_stock_quantity",3,True,,,,,,,
4,"variant_supplier_detail","variant_supplier_detail","dbo",0,"cus","variant_supplier_detail",4,True,,,,,,,
5,"supplier_setting","supplier_setting","dbo",0,"cus","supplier_setting",5,True,,,,,,,
6,"supplier_detail","supplier_detail","dbo",0,"cus","supplier_detail",6,True,,,,,,,
7,"purchase_order_header","purchase_order_header","dbo",0,"cus","purchase_order_header",7,True,,,,,,,
8,"purchase_order_line","purchase_order_line","dbo",0,"cus","purchase_order_line",8,True,,,,,,,
9,"order_line_item","order_line_item","dbo",0,"cus","order_line_item",9,True,,,,,,,
10,"order_header_total","order_header_total","dbo",0,"cus","order_header_total",10,True,,,,,,,
11,"order_header","order_header","dbo",0,"cus","order_header",11,True,,,,,,,
12,"variant_transaction_split","variant_transaction_split","dbo",0,"cus","variant_transaction_split",12,True,,,,,,,
13,"variant_transaction_header","variant_transaction_header","dbo",0,"cus","variant_transaction_header",13,True,,,,,,,
14,"customer_detail","customer_detail","dbo",0,"cus","customer_detail",14,True,,,,,,,
15,"stock_location","stock_location","dbo",0,"cus","stock_location",15,True,,,,,,,
16,"transaction_type","transaction_type","dbo",0,"cus","transaction_type",16,True,,,,,,,
17,"variant_purchase_info","variant_purchase_info","dbo",0,"cus","variant_purchase_info",17,True,,,,,,,
18,"variant_foreign_price","variant_foreign_price","dbo",0,"cus","variant_foreign_price",18,True,,,,,,,
19,"variant_category","variant_category","dbo",0,"cus","variant_category",19,True,,,,,,,
20,"category_treeview_node","category_treeview_node","dbo",0,"cus","category_treeview_node",20,True,,,,,,,
21,"invoice_line_variant_analysis","invoice_line_variant_analysis","dbo",0,"cus","invoice_line_variant_analysis",21,True,,,,,,,
22,"invoice_line_item","invoice_line_item","dbo",0,"cus","invoice_line_item",22,True,,,,,,,
23,"product_detail","product_detail","dbo",0,"cus","product_detail",23,True,,,,,,,
24,"variant_analysis","variant_analysis","dbo",0,"cus","variant_analysis",24,True,,,,,,,
25,"supplier_default","supplier_default","dbo",0,"cus","supplier_default",25,True,,,,,,,
26,"currency","currency","dbo",0,"cus","currency",26,True,,,,,,,
