id,step_name,endpoint,task_type,db_schema,db_table,priority,is_active,pre_sql_exec,pre_sql,select_sql,from_sql,where_sql,post_sql
11,"ItemUnitOfMeasure","Item Unit of Measure",0,"bc_sql","ItemUnitofMeasure",11,True,,,"[Item No_],[Code],CAST([Qty_ per Unit of Measure] AS DECIMAL(18,4)) AS [Qty_ per Unit of Measure],CAST([Length] AS DECIMAL(18,4)) AS [Length],CAST([Width] AS DECIMAL(18,4)) AS [Width],CAST([Height] AS DECIMAL(18,4)) AS [Height],CAST([Cubage] AS DECIMAL(18,4)) AS [Cubage], CAST([Weight] AS DECIMAL(18,4)) AS [Weight]",,,
50000,"CustomColumnItems","Item$437dbf0e-84ff-417a-965d-ed2bb9650972",0,"bc_sql_cus","CustomColumns_Item",0,True,,,"[No_], [Units per Parcel]","[AN$Item$437dbf0e-84ff-417a-965d-ed2bb9650972]",,
50001,"CustomColumnItemBundle","Item$b9cb627f-2be1-4d02-8d51-9885d5741064",0,"bc_sql_cus","CustomColumns_ItemBundle",0,True,,,"[No_], [Bundle]","[AN$Item$b9cb627f-2be1-4d02-8d51-9885d5741064]",,
50002,"CustomColumnItemSortiment","Item$d2f8664c-5b4f-45f5-9fa9-ef7ed48dcef3",0,"bc_sql_cus","CustomColumns_ItemSortiment",0,True,,,"[No_], [Sortiment], [Current Life Stage]","[AN$Item$d2f8664c-5b4f-45f5-9fa9-ef7ed48dcef3]",,
50003,"CCUndeliveredAssembly","Assembly Header$437dbf0e-84ff-417a-965d-ed2bb9650972",0,"bc_sql_cus","CCUndeliveredAssembly",50003,True,,,"[Item No_], [Remaining Quantity]","[AN$Assembly Header$437dbf0e-84ff-417a-965d-ed2bb9650972]",,
