id,step_name,endpoint,endpoint_schema,task_type,db_schema,db_table,priority,is_active,pre_sql_exec,pre_sql,select_sql,from_sql,where_sql,post_sql,columns_to_merge
1,"InventoryItem","InventoryItem",,0,"cus","InventoryItem",1,True,,,,,,,
2,"InventoryItemDescription","InventoryItemDescription",,0,"cus","InventoryItemDescription",2,True,,,,,,,
3,"InventoryCategory","InventoryCategory",,0,"cus","InventoryCategory",3,True,,,,,,,
4,"SystemCategory","SystemCategory",,0,"cus","SystemCategory",4,True,,,,,,,
5,"InventoryWarehouse","InventoryWarehouse",,0,"cus","InventoryWarehouse",5,True,,,,,,,
6,"Customer","Customer",,0,"cus","Customer",6,True,,,,,,,
7,"Supplier","Supplier",,0,"cus","Supplier",7,True,,,,,,,
8,"CustomerSalesOrder","CustomerSalesOrder",,0,"cus","CustomerSalesOrder",8,True,,,,,,,
9,"CustomerSalesOrderDetail","CustomerSalesOrderDetail",,0,"cus","CustomerSalesOrderDetail",9,True,,,,,,,
10,"CustomerInvoice","CustomerInvoice",,0,"cus","CustomerInvoice",10,True,,,,,,,
11,"CustomerInvoiceDetail","CustomerInvoiceDetail",,0,"cus","CustomerInvoiceDetail",11,True,,,,,,,
12,"InventorySupplier","InventorySupplier",,0,"cus","InventorySupplier",12,True,,,,,,,
13,"InventorySupplierPricingLevel","InventorySupplierPricingLevel",,0,"cus","InventorySupplierPricingLevel",13,True,,,,,,,
14,"InventoryItemPricingDetail","InventoryItemPricingDetail",,0,"cus","InventoryItemPricingDetail",14,True,,,,,,,
15,"InventoryUnitMeasure","InventoryUnitMeasure",,0,"cus","InventoryUnitMeasure",15,True,,,,,,,
16,"InventoryKitDetail","InventoryKitDetail",,0,"cus","InventoryKitDetail",16,True,,,,,,,
17,"SupplierPurchaseOrder","SupplierPurchaseOrder",,0,"cus","SupplierPurchaseOrder",17,True,,,,,,,
18,"SupplierPurchaseOrderDetail","SupplierPurchaseOrderDetail",,0,"cus","SupplierPurchaseOrderDetail",18,True,,,,,,,
19,"InventoryStockTotal","InventoryStockTotal",,0,"cus","InventoryStockTotal",19,True,,,,,,,
20,"InventoryStockTransfer","InventoryStockTransfer",,0,"cus","InventoryStockTransfer",20,True,,,,,,,
21,"InventoryStockTransferDetail","InventoryStockTransferDetail",,0,"cus","InventoryStockTransferDetail",21,True,,,,,,,
22,"InventoryStockTransferRequest","InventoryStockTransferRequest_DEV000999",,0,"cus","InventoryStockTransferRequest",22,True,,,,,,,
23,"InventoryStockTransferRequestDetail","InventoryStockTransferRequestDetail_DEV000999",,0,"cus","InventoryStockTransferRequestDetail",23,True,,,,,,,
24,"ForemostOpenOrderSendableAndSLAStatus","ForemostOpenOrderSendableAndSLAStatus",,0,"cus","ForemostOpenOrderSendableAndSLAStatus",24,True,,,,,,,
25,"SupplierPurchaseReceipt","SupplierPurchaseReceipt",,0,"cus","SupplierPurchaseReceipt",25,True,,,,,,,
26,"SupplierPurchaseReceiptDetail","SupplierPurchaseReceiptDetail",,0,"cus","SupplierPurchaseReceiptDetail",26,True,,,,,,,
27,"InventoryAdjustment","InventoryAdjustment",,0,"cus","InventoryAdjustment",27,True,,,,,,,
28,"InventoryAdjustmentDetail","InventoryAdjustmentDetail",,0,"cus","InventoryAdjustmentDetail",28,True,,,,,,,
